#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																							
#dcterms:license: CC-0																							
#version: 2.0																							
#creator_id:																							
orcid:0009-0004-7916-9833																							
orcid:0000-0002-7654-6902																							
#creator_name:																							
Camila Babo																							
Peter Wollard																							
#curie_map:																							
# - bcdm: https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv																							
#  - MIXS: https://genomicsstandardsconsortium.github.io/mixs/																							
# - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/releases/tag/																							
# - orcid: https://orcid.org/																							
# - skos: http://www.w3.org/2004/02/skos/core																							
# - semapv: https://w3id.org/semapv/vocab/																							
subject_id	subject_label	ext_subject_definition	ext_subject_valueSyntax	ext_subject_valueFormat	ext_subject_group	subject_category	predicate_id	ext_syntax_predicate_id	object_id	object_label	ext_object_definition	ext_object_valueSyntax	ext_object_valueFormat	object_category	mapping_justification	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
bcdm:species_reference	bcdm:species_reference	Reference for species name/Authorship of the species name.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:identification	bcdm:identification	Taxonomic identification of the specimen.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	skos:narrowMatch	MIXS:0001320	MIXS: samp_taxon_id	NCBI taxon id of the sample. Maybe be a single taxon or mixed taxa sample. Use 'synthetic metagenome for mock community/positive controls, or 'blank sample' for negative controls	string	^{text} \[{NCBItaxon_id}\]$	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.9	Both terms expect the taxonomic identification of the specimen. However, the object expect both the numerical ID and the textual nomenclature, as such, the subject is narrower, as it expect only the textual nomecalture, semantically and syntactically.
bcdm:identification_method	bcdm:identification_method	The method used to identify the specimen.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	skos:narrowMatch	MIXS:0000064	MIXS:tax_class	Method used for taxonomic classification, along with reference database used, classification rank, and thresholds used to classify new genomes	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.8	Both terms expect the method used for taxonomic classification of the specimien. However, the object contains not only the method, but also, reference databases used, classification rank and thresholds; as such, the subject is narrower, as it expect only the method, semantically and syntactically.
bcdm:identification_rank	bcdm:identification_rank	Taxonomic rank of the identification associated with the specimen.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	skos:narrowMatch	MIXS:0000064	MIXS:tax_class	Method used for taxonomic classification, along with reference database used, classification rank, and thresholds used to classify new genomes	string	default	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.8	Both terms expect the taxonomy rank of the specimen identification. However, the object contains not only the rank, but also, reference databases used, method and thresholds; as such, the subject is narrower, as it expect only the rank, semantically and syntactically.
bcdm:identified_by	bcdm:identified_by	Full name of primary individual responsible for providing the taxonomic identification of the specimen.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:identifier_email	bcdm:identifier_email	Identifier email address.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:taxonomy_notes	bcdm:taxonomy_notes	General notes regarding the taxonomy of the specimen.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:sex	bcdm:sex	The sex of the specimen registered in the record. This field uses a controlled vocabulary: 'Male', 'female', 'hermaphrodite' only.	char	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	skos:relatedMatch	MIXS:0000862	MIXS:urobiom_sex	Physical sex of the host	string	controlled vocabulary from UrobiomSexEnum (https://genomicsstandardsconsortium.github.io/mixs/UrobiomSexEnum/)	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism of the urobiome, as such, the subject is broader semantically but related syntatically, as the object requires strings from a controlled vocabulary.
bcdm:sex	bcdm:sex	The sex of the specimen registered in the record. This field uses a controlled vocabulary: 'Male', 'female', 'hermaphrodite' only.	char	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	skos:relatedMatch	MIXS:0001249	MIXS:animal_sex	The sex and reproductive status of the food animal	string	controlled vocabulary from AnimalSexEnum (https://genomicsstandardsconsortium.github.io/mixs/AnimalSexEnum/)	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism of the animal class, as such, the subject is broader semantically but related syntatically, as the object requires strings from a controlled vocabulary.
bcdm:sex	bcdm:sex	The sex of the specimen registered in the record. This field uses a controlled vocabulary: 'Male', 'female', 'hermaphrodite' only.	char	default	specimen	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	skos:relatedMatch	MIXS:0000811	MIXS:host_sex	Gender or physical sex of the host	string	enumeration	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism from the host, as such, the subject is broader semantically but related syntatically.
